topic;host_device_id;chessboard;move_to_x;move_to_y;datetime
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 2, 0], [0, 2, 0, 2, 0, 2, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];4;5;2021-01-26 11:57:30.390
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 2, 0], [0, 2, 0, 2, 0, 2, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];3;2;2021-01-26 11:57:38.965
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 2, 0], [0, 2, 0, 2, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];2;4;2021-01-26 11:57:43.304
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 2, 0], [0, 2, 0, 2, 0, 1, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];3;1;2021-01-26 11:57:49.051
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];4;5;2021-01-26 11:57:54.089
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0, 2], [0, 0, 0, 0, 2, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];5;3;2021-01-26 11:57:58.086
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];4;6;2021-01-26 11:58:02.167
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 0, 0], [0, 2, 0, 2, 0, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];3;2;2021-01-26 11:58:06.742
checkers/game_1/board;5cf2e9f2-0a58-46d9-9bcf-9e7d2fe8062e;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 0, 0], [0, 0, 0, 2, 0, 0, 0, 2], [2, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];4;5;2021-01-26 11:58:10.524
checkers/game_1/board;7dfe8d4f-e029-474f-8010-7b1b5e6364eb;[[0, 2, 0, 2, 0, 2, 0, 2], [2, 0, 2, 0, 2, 0, 2, 0], [0, 2, 0, 2, 0, 2, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 1, 0, 1, 0, 1, 0], [0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 1, 0, 1, 0, 1, 0]];4;5;2021-01-26 12:26:26.550
